epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,190.705,0.62197,0.38757,0.79895,0.99815,1,0.995,0.88098,0.59239,0.43847,0.79455,0.0008912,0.0008912,0.0008912
58,193.981,0.65921,0.38895,0.80127,0.99791,1,0.995,0.8531,0.73903,0.42981,0.77357,0.0008714,0.0008714,0.0008714
59,197.27,0.67379,0.38824,0.81106,0.99799,1,0.995,0.86688,0.72893,0.472,0.78637,0.0008516,0.0008516,0.0008516
60,200.571,0.65608,0.38769,0.79289,0.9981,1,0.995,0.85788,0.71346,0.42551,0.79417,0.0008318,0.0008318,0.0008318
61,203.876,0.65178,0.37631,0.80266,0.99838,1,0.995,0.89124,0.62515,0.43658,0.78878,0.000812,0.000812,0.000812
62,207.217,0.62685,0.37118,0.79109,0.99822,1,0.995,0.90036,0.52931,0.46104,0.78174,0.0007922,0.0007922,0.0007922
63,210.533,0.63102,0.37062,0.80708,0.99812,1,0.995,0.84471,0.59544,0.43504,0.77592,0.0007724,0.0007724,0.0007724
64,213.827,0.6265,0.36875,0.80344,0.99756,1,0.995,0.87475,0.6207,0.43271,0.78422,0.0007526,0.0007526,0.0007526
65,217.133,0.61528,0.36846,0.79824,0.99802,1,0.995,0.87869,0.56569,0.44065,0.75989,0.0007328,0.0007328,0.0007328
66,220.419,0.60314,0.35616,0.80861,0.99822,1,0.995,0.86795,0.59424,0.422,0.77417,0.000713,0.000713,0.000713
67,223.686,0.59962,0.36771,0.80279,0.99815,1,0.995,0.89577,0.58669,0.43042,0.77394,0.0006932,0.0006932,0.0006932
68,226.99,0.60467,0.36386,0.79764,0.99815,1,0.995,0.90467,0.49126,0.38407,0.77097,0.0006734,0.0006734,0.0006734
69,230.32,0.60636,0.36618,0.80334,0.99768,1,0.995,0.89454,0.48841,0.38749,0.76984,0.0006536,0.0006536,0.0006536
70,233.602,0.60224,0.36385,0.79601,0.99797,1,0.995,0.89339,0.52879,0.36884,0.77548,0.0006338,0.0006338,0.0006338
71,236.903,0.59862,0.35218,0.79422,0.99821,1,0.995,0.90283,0.55505,0.40746,0.76871,0.000614,0.000614,0.000614
72,240.189,0.59809,0.35469,0.79744,0.99786,1,0.995,0.88269,0.60535,0.38628,0.76506,0.0005942,0.0005942,0.0005942
73,243.509,0.58116,0.34956,0.79806,0.99801,1,0.995,0.9103,0.46501,0.38834,0.76472,0.0005744,0.0005744,0.0005744
74,246.808,0.57731,0.35208,0.79972,0.99823,1,0.995,0.90795,0.48849,0.39758,0.76156,0.0005546,0.0005546,0.0005546
75,250.108,0.57929,0.34558,0.7978,0.99825,1,0.995,0.90344,0.47764,0.40554,0.76596,0.0005348,0.0005348,0.0005348
76,253.418,0.61197,0.35887,0.79244,0.99824,1,0.995,0.8879,0.50079,0.42422,0.7686,0.000515,0.000515,0.000515
77,256.72,0.58203,0.35255,0.79039,0.99827,1,0.995,0.89995,0.55717,0.47054,0.77004,0.0004952,0.0004952,0.0004952
78,260.014,0.57221,0.34618,0.79097,0.99806,1,0.995,0.89956,0.48976,0.46854,0.76147,0.0004754,0.0004754,0.0004754
79,263.319,0.56185,0.34393,0.80056,0.99763,1,0.995,0.89606,0.55508,0.4875,0.77027,0.0004556,0.0004556,0.0004556
80,266.611,0.56334,0.3358,0.79151,0.9967,1,0.995,0.90111,0.52502,0.4559,0.76232,0.0004358,0.0004358,0.0004358
